Rank,Player,Team,Position,Tier,Tag,Notes
459,Nathan Carter,ATL,RB,Tier 8,,VORP: -139.8 | Proj: 6.6pts | Scheme: Kevin Stefanski/Rees • OL #11 • 👑 Elite GL Run (70% Run - Bijan TDs)
460,Reggie Gilliam,NE,RB,Tier 8,,VORP: -141.4 | Proj: 4.9pts | Scheme: Josh McDaniels • OL #13
461,Patrick Ricard,NYG,RB,Tier 8,,VORP: -141.4 | Proj: 4.9pts | Scheme: Matt Nagy • OL #18
462,Kaleb Johnson,PIT,RB,Tier 8,,VORP: -141.4 | Proj: 4.9pts | Scheme: Mike McCarthy • OL #19
463,Robert Henry Jr.,WAS,RB,Tier 8,,VORP: -141.4 | Proj: 4.9pts | Scheme: David Blough • ⚠️ Bad OL (#25)
464,Jacob Saylors,DET,RB,Tier 8,,VORP: -144.7 | Proj: 1.6pts | ⭐ Top-10 Eco (Drew Petzing) • OL #16 • 👑 Elite GL Run (74% Run - Gibbs/Monty TDs)
465,Bam Knight,ARI,RB,Tier 8,,VORP: -144.7 | Proj: 1.6pts | Scheme: Mike LaFleur • OL #20
466,British Brooks,HOU,RB,Tier 8,,VORP: -144.7 | Proj: 1.6pts | ⭐ Top-10 Eco (Nick Caley) • ⚠️ Bad OL (#29)
467,Shedeur Sanders,CLE,QB,Tier 8,,VORP: -164.9 | Proj: 54.3pts | Scheme: Todd Monken • ⚠️ Bad OL (#32)
468,Jameis Winston,NYG,QB,Tier 8,,VORP: -175.5 | Proj: 40.2pts | Scheme: Matt Nagy • OL #18 • ⚡ Dual-Threat Floor
469,J.J. McCarthy,MIN,QB,Tier 8,,VORP: -175.7 | Proj: 39.9pts | Scheme: Kevin O'Connell • OL #12 • 🎯 Pass-Funnel RZ (58% Pass) • ⚡ Dual-Threat Floor
470,Marcus Mariota,WAS,QB,Tier 8,,VORP: -178.5 | Proj: 36.1pts | Scheme: David Blough • ⚠️ Bad OL (#25) • ⚡ Dual-Threat Floor
471,Carson Beck,ARI,QB,Tier 8,,VORP: -180.2 | Proj: 33.9pts | Scheme: Mike LaFleur • OL #20
472,Justin Fields,KC,QB,Tier 8,,VORP: -182.3 | Proj: 31.0pts | ⭐ Top-10 Eco (Andy Reid) • OL #21 • 🎯 Pass-Funnel RZ (63% Pass)
473,Mac Jones,SF,QB,Tier 8,,VORP: -184.6 | Proj: 28.0pts | ⭐ Top-10 Eco (Kyle Shanahan) • OL #6
474,Tyson Bagent,CHI,QB,Tier 8,,VORP: -184.7 | Proj: 27.9pts | Scheme: Ben Johnson • 🛡️ Top-5 OL (#4) • 🎯 Pass-Heavy RZ (Ben Johnson)
475,Joe Milton III,DAL,QB,Tier 8,,VORP: -186.3 | Proj: 25.7pts | ⭐ Top-10 Eco (Brian Schottenheimer) • OL #15 • 🎯 Pass-Funnel RZ (61% Pass)
476,Ty Simpson,LAR,QB,Tier 8,,VORP: -188.1 | Proj: 23.3pts | ⭐ Top-10 Eco (Sean McVay) • 🛡️ Top-5 OL (#3) • 🎯 Pass-Funnel RZ (58% Pass)
477,Joe Flacco,CIN,QB,Tier 8,,VORP: -192.3 | Proj: 17.8pts | ⭐ Top-10 Eco (Zac Taylor) • ⚠️ Bad OL (#28) • 🎯 Pass-Funnel RZ (65% Pass)
478,Tyrod Taylor,GB,QB,Tier 8,,VORP: -194.1 | Proj: 15.3pts | ⭐ Top-10 Eco (Matt LaFleur) • ⚠️ Bad OL (#27)
479,Anthony Richardson Sr.,IND,QB,Tier 8,,VORP: -195.4 | Proj: 13.6pts | Scheme: Shane Steichen • OL #10
480,Gardner Minshew II,ARI,QB,Tier 8,,VORP: -196.0 | Proj: 12.8pts | Scheme: Mike LaFleur • OL #20
481,Riley Leonard,IND,QB,Tier 8,,VORP: -196.3 | Proj: 12.4pts | Scheme: Shane Steichen • OL #10
482,Jake Browning,TB,QB,Tier 8,,VORP: -197.7 | Proj: 10.6pts | Scheme: Zac Robinson • 🛡️ Top-5 OL (#5) • 🎯 Pass-Funnel RZ (60% Pass)
483,Cade Klubnik,NYJ,QB,Tier 8,,VORP: -198.2 | Proj: 9.9pts | Scheme: Frank Reich • OL #17
484,Drew Allar,PIT,QB,Tier 8,,VORP: -198.2 | Proj: 9.9pts | Scheme: Mike McCarthy • OL #19
